name,location,online_order,book_table,cuisines,rate,costof2plates,type_mode,rest_type,votes
Jalsa,Banashankari,Yes,Yes,North Indian Mughlai Chinese,4.1,800.0,Buffet,Casual Dining,775.0
Spice Elephant,Banashankari,Yes,No,others,4.1,800.0,Buffet,Casual Dining,787.0
San Churro Cafe,Banashankari,Yes,No,others,3.8,800.0,Buffet,"Cafe, Casual Dining",918.0
Addhuri Udupi Bhojana,Banashankari,No,No,South Indian North Indian,3.7,300.0,Buffet,Quick Bites,88.0
Grand Village,Basavanagudi,No,No,others,3.8,600.0,Buffet,Casual Dining,166.0
Timepass Dinner,Basavanagudi,Yes,No,North Indian,3.8,600.0,Buffet,Casual Dining,286.0
Rosewood International Hotel Bar Restaurant,others,No,No,others,3.6,800.0,Buffet,Casual Dining,8.0
Onesta,Banashankari,Yes,Yes,Pizza Cafe Italian,4.6,600.0,Cafes,"Casual Dining, Cafe",2556.0
Penthouse Cafe,Banashankari,Yes,No,others,4.0,700.0,Delivery,Cafe,324.0
Cafe Coffee Day,others,others,others,Missing,3.7,400.0,Delivery, ,60.0
Smacznego,Banashankari,Yes,No,others,4.2,550.0,Cafes,Cafe,504.0
Caf Down The Alley,Banashankari,Yes,No,Cafe,4.1,500.0,Cafes,Cafe,402.0
Cafe Shuffle,Banashankari,Yes,Yes,others,4.2,600.0,Cafes,Cafe,150.0
The Coffee Shack,Banashankari,Yes,Yes,others,4.2,500.0,Cafes,Cafe,164.0
CafEleven,Banashankari,No,No,Cafe Continental,4.0,450.0,Cafes,Cafe,424.0
San Churro Cafe,Banashankari,Yes,No,others,3.8,800.0,Cafes,"Cafe, Casual Dining",918.0
Cafe Vivacity,Banashankari,Yes,No,Cafe,3.8,650.0,Cafes,Cafe,90.0
Catchupino,Banashankari,Yes,No,others,3.9,800.0,Cafes,Cafe,133.0
Kirthis Biryani,Banashankari,Yes,No,others,3.8,700.0,Cafes,Cafe,144.0
T3H Cafe,Banashankari,No,No,others,3.9,300.0,Cafes,Cafe,93.0
360 Atoms Restaurant And Cafe,Banashankari,Yes,No,others,3.1,400.0,Cafes,Cafe,13.0
The Vintage Cafe,Banashankari,Yes,No,others,3.0,400.0,Cafes,Cafe,62.0
Woodee Pizza,Banashankari,Yes,No,others,3.7,500.0,Cafes,Cafe,180.0
Cafe Coffee Day,Banashankari,No,No,Cafe Fast Food,3.6,900.0,Cafes,Cafe,28.0
My Tea House,Banashankari,Yes,No,others,3.6,600.0,Cafes,others,62.0
Hide Out Cafe,Banashankari,No,No,Cafe,3.7,300.0,Cafes,Cafe,31.0
CAFE NOVA,Banashankari,No,No,Cafe Bakery,3.2,600.0,Cafes,Cafe,11.0
Coffee Tindi,Banashankari,Yes,No,others,3.8,200.0,Cafes,"Cafe, Quick Bites",75.0
Sea Green Cafe,Banashankari,No,No,others,3.3,500.0,Cafes,Cafe,4.0
Cuppa,Banashankari,No,No,Cafe Fast Food,3.3,550.0,Cafes,Cafe,23.0
Srinathjis Cafe,Basavanagudi,No,No,others,3.8,550.0,Cafes,"Casual Dining, Cafe",148.0
Redberrys,Basavanagudi,Yes,No,Cafe Italian,4.0,600.0,Cafes,Cafe,219.0
Foodiction,Banashankari,Yes,No,others,2.8,500.0,Delivery,Quick Bites,506.0
RATEDn not that much worth,others,others,others,Missing,3.7,400.0,Delivery, ,60.0
Sweet Truth,Banashankari,Yes,No,Bakery Desserts,3.9,500.0,Delivery,Delivery,35.0
Ovenstory Pizza,Banashankari,Yes,No,Pizza,3.9,750.0,Delivery,Delivery,172.0
Faasos,Banashankari,Yes,No,others,4.2,500.0,Delivery,Quick Bites,415.0
Will Recommend To EveryonennCheers,others,others,others,others,3.7,400.0,Delivery,others,60.0
Behrouz Biryani,Banashankari,Yes,No,Biryani,3.9,650.0,Delivery,Delivery,230.0
Fast And Fresh,Banashankari,Yes,No,North Indian Chinese Fast Food,2.8,400.0,Delivery,Quick Bites,91.0
Szechuan Dragon,Banashankari,Yes,No,Chinese Thai Momos,4.2,600.0,Delivery,Casual Dining,1647.0
Empire Restaurant,Jayanagar,Yes,No,North Indian Mughlai South Indian Chinese,4.4,750.0,Delivery,Casual Dining,4884.0
RATEDn We enjoyed our dinner,others,others,others,Missing,3.7,400.0,Delivery,others,60.0
Maruthi Davangere Benne Dosa,Banashankari,Yes,No,South Indian,4.0,150.0,Delivery,Quick Bites,17.0
Chaatimes,Basavanagudi,Yes,No,Street Food Fast Food,3.8,200.0,Delivery,Quick Bites,133.0
Havyaka Mess,Banashankari,No,No,South Indian,3.9,300.0,Delivery,Mess,28.0
McDonalds,Banashankari,Yes,No,Burger Fast Food,3.9,500.0,Delivery,Quick Bites,286.0
Dominos Pizza,Banashankari,Yes,No,Pizza Fast Food,3.9,800.0,Delivery,Quick Bites,540.0
Onesta,Banashankari,Yes,Yes,Pizza Cafe Italian,4.6,600.0,Delivery,"Casual Dining, Cafe",2556.0
Cafe Coffee Day,others,others,others,others,3.7,400.0,Delivery, ,60.0
Hotboxit,Banashankari,No,No,others,3.8,400.0,Delivery,Delivery,36.0
Kitchen Garden,Kumaraswamy Layout,Yes,No,North Indian Chinese,3.6,300.0,Delivery,Quick Bites,244.0
Recipe,Kumaraswamy Layout,Yes,No,others,4.0,450.0,Delivery,Casual Dining,804.0
Beijing Bites,others,Yes,No,Chinese Thai,3.7,850.0,Delivery,Casual Dining,679.0
Tasty Bytes,Kumaraswamy Layout,Yes,No,others,3.1,300.0,Delivery,Quick Bites,245.0
